zona,grupo_macro,subgrupo,columna_original,normalizado,campo_canonico,accion_guardado,destino_valor,destino_nombre,es_aporte_patronal,Santa Juana,San Pedro,JUNJI,Coronel,Lota,observaciones
datos_trabajador,trabajador,datos_personales,(sin encabezado),[[SIN ENCABEZADO]],dv,guardar,dv,,No,,,,,3,
datos_trabajador,trabajador,datos_personales,DV,DV,dv,guardar,dv,,No,3,3,3,3,,
datos_trabajador,trabajador,vinculo_laboral,Dias_Trab,DIAS TRAB,dias_trabajados,guardar,dias_trabajados,,No,11,11,11,11,11,
datos_trabajador,trabajador,vinculo_laboral,Jornada,JORNADA,jornada,guardar,jornada,,No,7,7,7,7,7,
datos_trabajador,trabajador,vinculo_laboral,Tipo_de_Contrato,TIPO DE CONTRATO,tipo_contrato,guardar,tipo_contrato,,No,8,8,8,8,8,
datos_trabajador,trabajador,vinculo_laboral,Ubicación,UBICACION,ubicacion,guardar,ubicacion,,No,6,6,6,6,6,
datos_trabajador,trabajador,vinculo_laboral,comuna,COMUNA,comuna,guardar,comuna,,No,9,9,9,9,9,
datos_trabajador,trabajador,vinculo_laboral,fechafin,FECHAFIN,fecha_fin,guardar,fecha_fin,,No,10,10,10,10,10,
datos_trabajador,trabajador,vinculo_laboral,fechaing,FECHAING,fecha_ingreso,guardar,fecha_ingreso,,No,4,4,4,4,4,
datos_trabajador,trabajador,datos_personales,nombre,NOMBRE,nombre,guardar,nombre,,No,1,1,1,1,1,
datos_trabajador,trabajador,vinculo_laboral,planta,PLANTA,planta,guardar,planta,,No,5,5,5,5,5,
datos_trabajador,trabajador,datos_personales,rut,RUT,rut,guardar,rut,,No,2,2,2,2,2,
haberes_no_guardar,haber_no_guardar,seguro,ACHS,ACHS,achs,ignorar,,,No,39,25,20,27,26,Regla de negocio: columnas entre Dias_Trab y TOTAL HABERES no se guardan.
haberes_no_guardar,haber_no_guardar,patronal_pre_total,APORTE SEG.INV.SOB.,APORTE SEG INV SOB,aporte_seguro_invalidez_sobrevivencia,ignorar,,,Sí,,,16,,,Regla de negocio: columnas entre Dias_Trab y TOTAL HABERES no se guardan.
haberes_no_guardar,haber_no_guardar,haber,ASIG.FAMILIAR,ASIG FAMILIAR,asignacion_familiar,ignorar,,,No,19,19,,,,Regla de negocio: columnas entre Dias_Trab y TOTAL HABERES no se guardan.
haberes_no_guardar,haber_no_guardar,haber,ASIG.INVALIDEZ,ASIG INVALIDEZ,asignacion_invalidez,ignorar,,,No,,,,,19,Regla de negocio: columnas entre Dias_Trab y TOTAL HABERES no se guardan.
haberes_no_guardar,haber_no_guardar,haber,Aguinaldo Navidad,AGUINALDO NAVIDAD,aguinaldo_navidad,ignorar,,,No,,,,36,,Regla de negocio: columnas entre Dias_Trab y TOTAL HABERES no se guardan.
haberes_no_guardar,haber_no_guardar,previsional,Aporte Adicional AFP,APORTE ADICIONAL AFP,aporte_adicional_afp,ignorar,,,No,40,41,22,41,37,Regla de negocio: columnas entre Dias_Trab y TOTAL HABERES no se guardan.
haberes_no_guardar,haber_no_guardar,patronal_pre_total,Aporte Seguro Inv. y Sobrevive,APORTE SEGURO INV Y SOBREVIVE,aporte_seguro_invalidez_sobrevivencia,ignorar,,,Sí,25,24,,22,22,Regla de negocio: columnas entre Dias_Trab y TOTAL HABERES no se guardan.
